japanese,english
適性,Aptitude
石材,The stone
空き地,Vacant
興国,Countries
色合い,Tint
鹿野,Kano
ガンダムシリーズ,Gundam series
いでる,Ideru
食い込む,Eat into
精子,sperm
紀子,Noriko
デビスカップ,Davis Cup
ヒロ,Hilo
ブーツ,boots
ダイエット,diet
チェイス,Chase
サック,Sack
村民,Villager
断裂,Tear
日替わり,Daily
リーダーシップ,leadership
ロッジ,Lodge
爆風,blast
牡丹,peony
特長,Features
異国,Foreign country
チェスター,Chester
パレット,palette
フーガ,fugue
学理,Scientific principle
リザーブ,Reserve
付け根,root
善光寺,Zenkoji Temple
正門,Main gate
江藤,Eto
信雄,Nobuo
廃寺,Heidi
牢,Prison
続投,Consecutive pitching
自給,Self-support
重厚,Profound
高浜,Takahama
テレサ,Teresa
デビル,Devil
ソケット,socket
マルグリット,Marguerite
ユニバース,Universe
アニー,Annie
イザベル,Isabel
すっかり,Completely
カロリー,calorie
エキシビション,Exhibition
駅長,Station master
目の当たり,Face-to-face
通産,International Trade and Industry
竜巻,tornado
浅田,Asada
真澄,Masumi
高専,College
弊害,Adverse effects
永野,Nagano
丸太,log
チュー,Chu
マムルーク,Mamluk
兆す,Show signs
書家,Calligrapher
リエージュ,Liege
志郎,Shiro
接頭辞,prefix
馬券,Betting
藤崎,Fujisaki
サーベル,saber
カルチョ,Calcio
ふな,Ship
あちこち,Here and there
グリム,Grimm
分室,Annex
大洲,Ozu
宮原,Miyahara
両脇,Both sides
中年,middle aged
久し振り,After a long time
書写,Shosha
プッシュ,push
津村,Tsumura
真木,Maki
金本,Kanemoto
随伴,Adjoint
飯野,Iino
髑髏,skull
可逆,reversible
住まう,Live
インフレーション,inflation
ペスト,Black Death
プロスト,Prost
スピードウェイ,Speedway
拝殿,Haiden
リバティー,Liberty
粘る,Persist
紀州藩,Kishu clan
直方,Nogata
高千穂,Takachiho
正之,Masayuki
嚆矢,Pioneering figure
大和田,Owada
ファス,Fuss
クルド,Kurdish
むつ,Mutsu
サクソン,Saxon
スクーター,scooter
きむ,Kim
カナディアン,Canadian
参る,I am madly in love
司令塔,Playmaker
抗生物質,Antibiotics
沙織,Saori
澱粉,starch
生年月日,Birthday
盛大,Grand
西安,Xi'an
セオドア,Theodore
ベティ,Betty
ハーブ,Herbs
有償,Compensation
毀損,Damage
ヴァージニア,Virginia
建安,Ken'yasu
散逸,Dissipative
小渕,Obuchi
区長,Ward headman
叱る,Scold
アフマド,Ahmad
製鋼,Steel manufacture
走破,Off-road
雄大,Grandeur
類別,Classification
配色,Color scheme
秀夫,Hideo
稜線,Ridgeline
純子,Junko
凌駕,Surpassing
単葉,Monoplane
噴水,fountain
宦官,eunuch
ロワール,Loire
揮発,Volatilization
ボーナストラック,Bonus track
シャーリー,Shirley
サードパーティー,Third-party
アルザス,Alsace
出頭,Appearance
否認,Denial
平松,Hiramatsu
英会話,English conversation
食らう,Eat
防火,Fire prevention
険しい,A grim
難関,Challenge
風間,Kazama
漕ぐ,row
焼き払う,Burn off
リクルート,recruit
即応,Readiness
厳島,Itsukushima
損壊,Damage
改軌,Track gauge conversion
アムール,Amur
トス,toss
パイク,Pike
バッティング,batting
ファミ通,Famitsu
有毒,Poisonous
制する,Get the better of
レックス,Rex
レッドブル,Red bull
誠実,Sincere
駱駝,camel
群衆,crowd
茂木,Mogi
ロチェスター,Rochester
大樹,Big tree
孔子,Confucius
川崎重工業,"Kawasaki Heavy Industries,"
明子,Akiko
朱印,red seal
ランチ,lunch
ミーティング,meeting
テレコム,Telecom
ソリスト,soloist
コンピューティング,Computing
コープ,Coop
クメール,Khmer
アイスクリーム,ice cream
一翼,part
中里,Nakazato
字母,Jamo
ネクスト,next
シチュエーション,situation
競演,Recital contest
通り抜ける,Go through
浄瑠璃,Ballad drama
病状,Medical conditions
飢える,Starve
多面,Multifaceted
揺らぐ,Shake
交信,Communication
善戦,Fight a good fight
段々,Gradually
榮,Sakae
宿場,Shukuba
富士川,Fujikawa
小岩,Koiwa
出水,Flood
擬人,Personification
新居浜,Niihama
人前,public
鎌田,Kamata
高井,Takai
高城,Takagi
遺棄,abandonment
良子,Ryoko
浄土宗,Jodo
わざと,Deliberately
オーガスタ,Augusta
ファウスト,Faust
マッピング,mapping
乾く,Get dry
栓,plug
不明瞭,Obscurity
折り合う,Compromise
抜本,Drastic
文句,Complaint
新津,Niitsu
奮う,wield
年会,Annual convention
利息,Interest
では,In
ギリギリ,just in time
クォーター,Quarter
クリフ,Cliff
溺れる,Indulge
諭す,admonish
部首,radical
缶詰め,Canned
ムアン,Muang
スランプ,slump
セシル,Cecil
タイタン,Titan
ムード,Mood
ニューサウスウェールズ,New South Wales
クローバー,Clover
カーク,Kirk
名城,Nashiro
昇任,promotion
小松島,Komatsushima
縫い包み,Stuffed toy
遠心,Centrifuge
瞬時,Instant
鉄線,Iron wire
フェス,Festival
ブルジョワジー,Bourgeoisie
ハーツ,Hearts
定説,Established theory
寝屋川,Neyagawa
叛乱,Rebellion
朝食,breakfast
任用,Appointment
掛け声,shout
散々,Terrible
大林,Obayashi
余生,Remaining years
八百長,Fixed game
横行,Rampant
谷間,valley
責める,blame
コミンテルン,Comintern
エリクソン,Ericsson
インスブルック,Innsbruck
ヒンデンブルク,Hindenburg
マクスウェル,Maxwell
ベーコン,bacon
ペイジ,Paige
ダンテ,Dante
バックス,Bucks
ミケランジェロ,Michelangelo
ハイルブロン,Heilbronn
飛び降りる,jump off
絵巻,Picture scroll
膨れる,swell
杭州,Hangzhou
気仙沼,Kesennuma
水滸伝,Water Margin
抹殺,Obliteration
挙行,Celebration
リチャードソン,Richardson
不和,discord
口頭,oral
完敗,Complete defeat
巣鴨,Sugamo
イサベル,Isabel
クララ,Clara
サンフレッチェ,Sanfrecce
アルプ,Alpes
美里,Misato
義雄,Yoshio
湾曲,Curve
ブロード,Broadcloth
ブロードバンド,Broadband
山系,Mountains
培地,Culture medium
弁天,Benten
一団,Party
モルドバ,Moldova
閉ざす,close
蠍,scorpion
見出し,Heading
足下,foot
コロシアム,Coliseum
ファル,Fal
ファンタジア,Fantasia
ペイン,pain
萎える,Wither
赦免,Remission
絡める,Entangled
植田,Ueda
冴える,Be clear
友愛,fraternity
屍,Dead
庇,Eaves
心中,Double suicide
扇動,agitation
ライデン,Leiden
休息,rest
肥大,Hypertrophy
銃剣,bayonet
龍一,Ryuichi
無声,unvoiced
ニトロ,Nitro
チューリング,Turing
アバター,Avatar
ひろゆき,Hiroyuki
コロナ,corona
無傷,Uninjured
話せる,Speak
倍増,Double
方策,Policy
フレディ,Freddy
ナチュラル,natural
裂ける,Tear
走査,scanning
電灯,Electric light
群像,Sculptured group
義隆,Yoshitaka
クズ,Debris
カワサキ,Kawasaki
ぜ,
予後,prognosis
信憑性,credibility
取り仕切る,Preside over
初級,Elementary level
散文,prose
東シナ海,East China Sea
死球,Dead ball
大脳,Cerebrum
席巻,Conquering
ヨアヒム,Joachim
緊密,Close
膠着,Stalemate
薬莢,cartridge
資質,Nature
追い抜く,Overtake
ブックス,Books
メイソン,Mason
クイーンズランド,Queensland
エッグ,Egg
ゲール,Gaelic
茹でる,boil
総社,Shrine enshrining several gods
皺,wrinkle
正雄,Masao
戸川,Togawa
大槻,Otsuki
左近,Sakon
人脈,Personal connections
優良,Excellent
共立,Kyoritsu
マケイン,McCain
ミュー,Mu
由美,Yumi
糸魚川,Itoigawa
オウム真理教,Aum Shinrikyo
オズボーン,Osborne
全校,Whole school
有価,Securities
モハメド,Mohamed
嫡流,Lineage of the eldest son
干ばつ,A drought
外周,Outer circumference
水流,Water current
励起,excitation
味付け,Spice
禁固,imprisonment
編隊,formation
花形,Shining star
輪島,Wajima
海路,Sea route
漢詩,Chinese poetry
直感,Intuition
ミラクル,Miracle
セッティング,Setting
ダイムラー,Daimler
エステ,Este
ジャスティン,Justin
コロンボ,Colombo
サンバ,samba
ゴルバチョフ,Gorbachev
エミュレータ,emulator
アルバ,Alba
祈念,Prayer
長引く,Protracted
勝頼,Katsuyori
即日,same day
正三位,Positive third place
大いなる,Great
小人,child
事案,Cases
リムジン,A limo
ローヌ,Rhone
敗訴,Losing
戦える,Fight
吸入,Inhalation
レディー,ready
芳賀,Haga
述懐,Recollection
過熱,Overheating
もしも,If
シンクロ,Synchro
スノーボード,snow board
クビライ,Kublai Khan
ピンチ,pinch
車載,Automotive
辰巳,Tatsumi
雑音,noise
縮尺,Reduced scale
義和,Yoshikazu
仁王,Nio
かつら,wig
コンデンサ,Condenser
エスタ,Esta
緩急,Pace
虜,Captive
逼迫,Stringency
鉄橋,Iron bridge
魔力,Magical power
タオル,towel
油脂,Fats and oils
ラウル,Raul
俯角,Depression
式内社,Shikinaisha
成型,Molding
竹刀,Fencing stick
筏,Raft
玉葱,onion
落書き,graffiti
ウォル,Wal
ミヒャエル,Michael
ブレイン,Brain
ピレネー,Pyrenees
フォルム,Form
セバスチャン,Sebastian
マールブルク,Marburg
ミリタリー,military
邦彦,Kunihiko
胡頽子,Gummy
相応,Correspondingly
復調,demodulation
全文,Full text
家計,Household budget
モービル,Mobil
ケージ,cage
アヘン,Opium
コートジボワール,Côte d'Ivoire
サプリメント,supplement
オマージュ,Homage
シューズ,shoes
アナハイム,Anaheim
海難,Shipwreck
漢語,Chinese
防府,Hofu
磯部,Isobe
肥える,Grow fat
マジカル,Magical
ハニー,Honey
ナビゲーション,navigation
ノックアウト,knock out
モノラル,monaural
大政,Taisei
屏風,folding screen
後遺症,Sequelae
振り切る,Shake off
携える,Carry in one's hand
停留場,Stationary field
木津,Kizu
弘安,Koan
学界,Academic circles
少人数,Small
人件,Personnel
レスター,Leicester
砂糖黍,sugar cane
竹本,Takemoto
素直,Docile
誇張,Exaggeration
エッ,Edge
オゾン,ozone
ファイ,Phi
ピストンズ,Pistons
ブランコ,Swing
ハーマン,Herman
信義,Faith
北国,Northern provinces
危ぶむ,Mistrust
吹替,Dub
岩村,Iwamura
グレゴリウス,Gregorian
インフォメーション,information
エカチェリーナ,Catherine
バロン,Baron
熱田,Atsuta
麻美,Asami
リッキー,Ricky
札所,Fudasho
売れ行き,sales
井口,Iguchi
バーモント,Vermont
チャイム,chime
雨天,Rainy weather
黙示録,Apocalypse
読切,読切
通帳,passbook
置き換わる,Replace
稲川,Inagawa
豪雪,Heavy snowfall
贅沢,luxury
遊離,Free
開封,Opened
流血,Bloodshed
下痢,diarrhea
懇願,Supplication
所々,Here and there
増税,Tax increase
切り札,trump
シャンソン,Chanson
ピカチュウ,Pikachu
タイトー,Taito
メッカ,Mecca
チューン,tune
分与,Dispensation
当て嵌める,Apply
調律,Tuning
貸付,Loan
自費,Expense
空ける,Empty
育む,Bring up
農夫,Peasant
唱歌,Song
ヴォーカリスト,Vocalist
エキストラ,extra
エドマンド,Edmund
ゴメス,Gomez
ぴあ,Pia
邦訳,Translation into Japanese
花見,Cherry-blossom viewing
ナゴヤ,Nagoya
京セラ,Kyocera
河馬,hippopotamus
掛け離れる,be far apart
忙しい,busy
手引き,guidance
争点,Point at issue
ロンメル,Rommel
哲夫,Tetsuo
筑摩,Chikuma
紆余,Beating around the bush
追尾,Tracking
アイル,Isle
カンタータ,cantata
ジュラ,Jura
ドリル,Drill
タイムリー,Timely
ピウス,Pius
ブリー,Brie
袁紹,Yuan Shao
豊平,Toyohira
追従,Compliance
瀋陽,Shenyang
片桐,Katagiri
集成,Aggregation
反攻,Counteroffensive
口論,Quarrel
哲哉,Tetsuya
下半身,Lower body
延暦寺,Enryakuji
敬愛,Respect and affection
武庫,Armory
アレッサンドロ,Alessandro
エメラルド,Emerald
かめ,Turtle
ひたすら,Earnestly
驢馬,ass
蝋燭,candle
裏腹,Contrary
テンソル,tensor
セレウコス,Seleucus
並走,The parallel running
元日,New Year's Day
全盛,Height of prosperity
兵舎,barracks
ロンド,Rondo
一騎打ち,Duel
前奏,Prelude
双方向,Both directions
受刑,Sentenced
問答,Questions and answers
雄一,Yuichi
翼賛,Yokusan
興隆,rise
略語,Abbreviation
インストラクター,instructor
ベイビー,Baby
フレスコ,Fresco
デイズ,Days
逗子,Zushi
箍,Hoop
自白,confession
和風,Japanese style
ランズ,Lands
中空,Hollow
審問,hearing
アンダーグラウンド,Underground
スカラー,scalar
コルドバ,Cordoba
シンプソン,Simpson
ウィンザー,Windsor
ウォード,Ward
肛門,anus
自我,ego
英明,Hideaki
海老名,Ebina
発つ,Leave
軍港,Naval port
返事,reply
ベンゼン,benzene
ノートン,Norton
大掛かり,large scale
受動,passive
呟く,Mutter
団子,dumpling
本屋,bookstore
次代,Next era
江津,Gotsu
拝領,Communion
ラマ,Llama
三谷,Mitani
予期,Expectation
其の代わり,Instead
飯山,Iiyama
駅弁,Station lunch
高所,high place
サハリン,Sakhalin
パーム,Palm
ナシオナル,Nacional
ホップ,hop
セシウム,cesium
写実,Realism
対流,Convection
拘留,detention
本能,instinct
エスパーニャ,Espana
ガメラ,Gamera
クインシー,Quincy
アンドレアス,Andreas
ベガ,Vega
頑張れる,Hold on
純一郎,Junichiro
旺盛,Strong
染みる,Permeate
万里,Thousands of miles
催眠,Hypnotism
岩波書店,Iwanami Shoten
横丁,Alley
三郷,Misato
事物,Thing
ラヴェル,Ravel
御嶽,Mitake
技研工業,Giken
アレイ,array
シング,Thing
野崎,Nozaki
流行る,Thrive
法隆寺,Horyuji Temple
浅瀬,Shallows
痙攣,convulsions
見栄,Appearance
軋轢,Friction
金型,Mold
高根,Takane
新婚,just married
堪る,Tamar
巨星,Giant star
帰路,Way back
リハビリテーション,Rehabilitation
例の,Examples of
ビザンティン,Byzantine
デモンストレーション,demonstration
トラク,Tractor
ヒンドゥー,Hindu
ブラント,Brandt
係員,The attendant
危うい,Dangerous
レーシングカー,Racing car
正反対,The opposite
大喜び,great joy
奇しくも,Miraculously
真人,Masato
矢島,Yajima
製材,Lumber
那智,Nachi
エレン,Ellen
あすか,Asuka
スクランブル,scramble
岡野,Okano
単離,Isolation
体勢,Posture
ミクロ,micro
須田,Suda
須藤,Sudo
鶯,Nightingale
無縁,Unrelated
真岡,Moka
稲作,Rice crop
茅ヶ崎,Chigasaki
共謀,Collusion
末っ子,Youngest child
栗山,Kuriyama
リアン,Lian
リッパー,Ripper
取り分ける,Set aside
戦史,Military History
死闘,Struggle to the death
下敷き,Mat
係留,Mooring
ロケッツ,Rockets
露呈,Exposure
餓死,Starvation
サラダ,salad
カジミェシュ,Kazimierz
重宝,Convenience
調味料,seasoning
紋別,Monbetsu
切除,Ablation
刺繍,embroidery
岩槻,Iwatsuki
文永,Bun'ei
テイルズ,Tales
デズモンド,Desmond
プライム,Prime
フォル,Folder
フューチャー,Future
窺える,Suggesting
湛える,Praise
無印,Unbranded
試算,Trial calculation
イオニア,Ionian
改竄,Alter
合議,Consultation
ルーシー,Lucy
多治見,Tajimi
大河内,Okochi
委譲,transfer
倉田,Kurata
吸着,adsorption
和す,Wath
常総,Joso
ヴィー,Vee
那珂,Naka
端緒,Beginning
終息,Termination
漂着,Drifting ashore
的確,Accurate
事後,after
宿敵,Old enemy
小判,oval
歳入,revenue
コレラ,cholera
クリスティ,Christi
ガリレオ,Galileo
カトリーヌ,Catherine
キッス,Kiss
アユタヤ,Ayutthaya
アーリー,Early
グレアム,Graham
生業,Livelihood
禅師,Zenji
秀でる,excel
フロイト,Freud
ブート,boot
テイスト,taste
ホルダー,holder
本場,Home
染料,dye
気性,temper
吠える,bark
人情,humanity
内国,Internal
主語,subject
リミテッド,Limited
手中,Hands
日本電気,NEC
可換,Commutative
宮下,Miyashita
締め切る,Shut up
腕前,Skill
雑種,hybrid
わざわざ,Bother
金正日,Kim Jong Il
至上,Supremacy
眠れる,Sleeping
外人,Foreigner
宮古島,Miyakojima
左舷,port
ログイン,Login
情景,scene
チョッパー,chopper
バーガー,Burger
濡れる,Get wet
駒澤,Komazawa
裁量,discretion
踊,Dance
破格,Exceptional
網膜,retina
いよいよ,Finally
だの,The I
手首,wrist
日用,Daily
ワークステーション,Work station
木工,Woodworking
永続,Permanence
増資,Capital increase
今津,Imazu
立石,Tateishi
裕之,Hiroyuki
ボトル,Bottle
スモール,Small
ヒーター,heater
行司,Sumo referee
直隷,Zhili
素朴,Simplicity
乗れる,Ride
ロックフェラー,Rockefeller
待ち受ける,Await
武芸,martial arts
ルイーゼ,Luise
堂々たる,Dignified
砂岩,sandstone
滑空,Gliding
メッセ,Messe
ダスト,dust
ペロポネソス,Peloponnese
カナリア,Canary
コーエン,Cohen
サイゴン,Saigon
シュナイダー,Schneider
コミ,Komi
カルボン酸,carboxylic acid
キャビン,cabin
落差,Difference
風車,Windmill
鬼怒川,Kinugawa
立て籠る,Confine oneself
可児,Kani
幾多,Many
リュック,Ruck sack
店主,Shopkeeper
寂しい,lonely
平賀,Hiraga
時代遅れ,Outdated
低圧,low pressure
谷崎,Tanizaki
湖西,Kosai
ポリシー,policy
ブラス,brass
ミネラル,mineral
ミンデン,Minden
ポット,pot
先着,First arrival
押収,Seizure
刃物,Cutlery
泊まる,stay
孫娘,granddaughter
尺度,Scale
まさか,Surely
ジョチ,Horde
瞑想,meditation
西本,Nishimoto
追い払う,Ward off
遷座,Senza
浩司,Koji
興る,Flourish
黄昏,twilight
実技,Practical
工費,Construction cost
平川,Hirakawa
兵糧,Army provisions
次点,Runner-up
レディング,Reading
商学,Commerce
ボルボ,Volvo
ディン,Ding
テンション,tension
ミード,Mead
変奏曲,Variations
帯同,Taking along
木綿,cotton
雅子,Masako
赤ん坊,baby
秘匿,Concealment
篠崎,Shinozaki
ジェローム,Jerome
クイック,quick
コーラ,Cola
アグネス,Agnes
此れ程,This much
ハルク,Hulk
ハンデ,Handicap
フット,Foot
ダイオード,diode
磁器,porcelain
脂,The fat
田宮,Tamiya
西魏,Western Wei
頭上,Overhead
点滅,Flashing
曹長,Sergeant major
木版,Woodcut
東広島,Higashi-Hiroshima
モートン,Morton
ウーマン,Woman
エアー,Air
セラー,Seller
トラックス,Tracks
ファイン,fine
プランク,Planck
ブルックナー,Bruckner
日銀,Bank of Japan
果敢,Resolute
振替,transfer
探題,Tandai
新編,Shinpen
日暮,Higurashi
十代,Teenage years
名家,Distinguished family
和久,Kazuhisa
七夕,Tanabata
中和,Neutralizing
眺望,View
複々線,Quadruple track
種子島,Tanegashima
懸命,Hard
ラジカル,radical
暗闇,darkness
樹上,Treehouse
反旗,Standard of revolt
名寄せ,Name identification
大高,Otaka
フェル,Fell
ニューロン,Neuron
マリノス,Marinos
プリマス,Plymouth
ジョエル,Joel
ジュリエット,Juliet
ゴッホ,Van Gogh
吹上,Fukiage
時として,Sometimes
献身,dedication
配流,Exiled
頭骨,skull
鬱,Depression
テノール,tenor
微量,Very small amount
攻守,Offense and defense
卵形,Egg-shaped
塩酸,hydrochloric acid
インスタント,instant
確変,Probability variation
綴じる,Bind
貸出,Loan
足場,scaffold
海溝,Trench
笠原,Kasahara
雄二,Yuji
越智,Ochi
服飾,Clothing and accessories
休載,Hiatuses
傑出,Outstanding
右下,The lower right
政局,Political situation
ビリヤード,Billiards
ドイル,Doyle
ポリドール,Polydor
マゼラン,Magellan
拍手,applause
三崎,Misaki
越谷,Koshigaya
減額,Reduced
さざえ,Turban
オタワ,Ottawa
アンネ,Anne
コーブルク,Coburg
サール,Searle
モダニズム,modernism
広葉樹,Hardwood
動ける,Move
名馬,Horses
マグナム,Magnum
マンモス,Mammoth
フェーズ,Phase
チェンジアップ,Change up
送迎,Pick-up
見聞,Observations
遊べる,Play
浸食,erosion
渡邊,Watanabe
領海,Territorial waters
向井,Mukai
中腹,Mountainside
局地,Locality
差し掛かる,Approaches
楽屋,dressing room
沈下,subsidence
シャロン,Sharon
ジェミニ,Gemini
スタミナ,stamina
ちゃお,Chao
早苗,Sanae
廃部,Hive
後手,Iron
頭から,From head
臨済宗,Rinzai
画報,Pictorial
ドミニク,Dominique
ナバラ,Navarre
持ち前,Inherent
女帝,Empress
宿場町,Post town
日食,Solar eclipse
束ねる,Bundle
段位,Rank
コロンバス,Columbus
サラトガ,Saratoga
錐,Drill
葛藤,conflict
誠一,Seiichi
豚肉,pork
錨,Anchor
閏年,leap year
陽気,Weather
難解,Esoteric
英夫,Hideo
戸惑う,Confused
勝訴,Won
外郭,Outline
奥行き,depth
ロングアイランド,Long Island
マント,Mantle
ベーシック,basic
ジェレミー,Jeremy
オカルト,occult
オスカル,Oscar
ジェダイ,Jedi
志士,Patriot
憶測,speculation
戒厳,Martial
梟,owl
交雑,Crossing
ユトレヒト,Utrecht
素粒子,Elementary particle
肉眼,Naked eye
軟骨,cartilage
満載,Full load
ニューロンドン,New London
スプリングス,Springs
フョードル,Fyodor
ノール,Nord
ミレニアム,Millennium
本選,Finals
一望,one sweep
内燃機,Internal combustion engine
分科,section
エナジー,energy
漢学,Chinese classics
積み荷,A cargo
糠,Bran
自明,obvious
龍太郎,Ryutaro
重んじる,Respect
盟主,leader
逐次,Successively
立て役者,Headliner
育英,Scholarship
水星,Mercury
拉薩,Lhasa
不仲,Discord
主審,Chief referee
優雅,Elegance
大判,Large format
太閤,Taiko
テムル,Temür Khan
さらば,Farewell
ウィンチェスター,Winchester
エジソン,Edison
アパレル,apparel
ヨークタウン,Yorktown
凝らす,Congeal
加圧,Pressurization
備蓄,Reserved
形跡,evidence
敏感,sensitive
笠間,Kasama
英和,English-Japanese
ポリゴン,polygon
ホエールズ,Whale's
マインド,Mind
トールキン,Tolkien
放す,Release
散らす,Scatter
正夫,Masao
夕刻,evening
千種,Chikusa
アフタヌーン,afternoon
コンスタンティノス,Constantine
ギャラ,Gallery
ケイ素,Silicon
エアポート,Airport
融解,Fusion
衝動,impulse
菱形,Diamond shape
見越す,Foresee
静的,static
苺,strawberry
刀剣,Swords
モンキー,Monkey
拓郎,Takuro
ブリヂストン,Bridgestone
パオロ,Paolo
シエラレオネ,Sierra Leone
キングストン,Kingston
オリンピア,Olympia
ガーランド,Garland
グロスター,Gloucester
栗林,Kuribayashi
水圧,Hydraulic pressure
出奔,Absconding
埋もれる,Be buried
女装,Dressing
俊介,Shunsuke
兎に角,Anyway
レンダリング,rendering
立国,Nation
義光,Yoshimitsu
荷台,Luggage carrier
路地,alley
片面,One side
開学,Hirakigaku
ノンステップバス,Low-floor bus
スロープ,slope
セバスティアン,Sebastian
プレイス,Place
ミハエル,Michael
承応,Uketamawa応
似通う,Resemble closely
どういう,What kind
カンパニア,Campania
香料,Perfume
西遊記,Journey to the West
豪快,Exciting
矢田,Yada
浮気,Unfaithful
溶融,Melting
長城,Great Wall
防戦,Defend
雅之,Masayuki
義明,Yoshiaki
伸縮,Expansion and contraction
昨今,Nowadays
桐朋,Toho
忠雄,Tadao
打破,Defeat
奥義,mystery
好走,Good run
バーネット,Barnett
ビースト,Beast
タジキスタン,Tajikistan
オーシャン,Ocean
グランデ,Grande
アライアンス,Alliance
シャーロック,Sherlock
コンスタンティノポリス,Constantinople
カタパルト,catapult
ジェニファー,Jennifer
アストロズ,Astros
中谷,Nakatani
旋風,whirlwind
競歩,Race walking
諸葛亮,Zhuge Liang
フィジー,Fiji
ドリフト,Drift
弾き語り,Hikigatari
悪意,Malice
変装,disguise
差し止める,Prohibit
両論,And cons
倦怠,fatigue
別館,Annex
末広,Suehiro
ああ,Oh
コンディション,condition
エコール,Ecole
ガーディアン,The Guardian
快楽,pleasure
故人,deceased
日南,Nichinan
ヤンキー,Yankee
ロバートソン,Robertson
凪,calm
堕落,Corruption
先例,precedent
ソート,sort
ハプニング,Happening
美貌,beauty
破局,catastrophe
乱す,Disturb
沈殿,Precipitation
底部,bottom
敏夫,Toshio
太宰,Dazai
害す,Harm
山根,Dormouse
原野,Wilderness
品位,Dignity
囚われる,Be captured
インスリン,Insulin
ヒルベルト,Hilbert
ドビュッシー,Debussy
ニューファンドランド,Newfoundland
フレッチャー,Fletcher
パラマウント,Paramount
スラッシュ,Slash
劉邦,Liu Bang
ラッピング,wrapping
不意,Unexpected
廃絶,Extinction
成就,Fulfillment
新語,new word
絞首刑,Death by hanging
海王星,Neptune
草稿,draft
美樹,Miki
出汁,soup stock
岩礁,Reef
トラベル,Travel
ホームタウン,home town
つて,Connexion
シンバル,cymbal
ジェル,Gel
アブラハム,Abraham
からくり,Trick
天平宝字,Tenpyo treasure character
官公庁,Government
戒名,Posthumous Buddhist name
末梢,Periphery
供える,Dedicate
値下げ,Price cuts
龍之介,Ryunosuke
無用,useless
デジモン,Digimon
ベビーフェイス,Baby Face
待ち伏せ,ambush
後円部,Rear circle portion
従者,Servant
御礼,Thanking
復路,Return path
墳墓,Tomb
守口,Moriguchi
水俣,Minamata
半音,Half-tone
カリブ,Caribbean
献ずる,Kenzuru
財宝,treasure
賢者,Wise man
野上,Nogami
高梁,Takahashi
王政復古,Restoration
田上,Tagami
着地,Landing
矢先,Arrowhead
福永,Fukunaga
縁取る,Border
聞き入れる,Accede
蜜蜂,bee
触手,Tentacle
不発,unexploded
欲する,Want
殉職,It is killed in the line of duty
実刑,Prison
宮澤,Miyazawa
ブロンズ,bronze
オリエンタル,Oriental
ゴンザレス,Gonzalez
なんか,Something
シュルツ,Schulz
アリソン,Allison
吸引,Absorption
徹す,Tessu
既成,Established
木山,Kiyama
楽隊,band
レースクイーン,Race Queen
不快,Unpleasant
佐田,Sada
身元,Background
軍国,Militant nation
減量,Weight loss
願望,desire
ノースダコタ,North Dakota
バッファ,buffer
チェンバロ,Cembalo
ディクソン,Dixon
乳房,breast
仲良く,Making friends
保線,Track maintenance
加勢,Helping
国東,Kunisaki
塩尻,Shiojiri
ラーズ,Lars
リラ,Lira
庄司,Shoji
本舗,Honpo
求人,Job openings
たかじん,Takajin
キティ,Kitty
焼き討ち,Burning
詩作,Poetry
赤井,Akai
蘇生,resuscitation
装束,Costume
鍼灸,Acupuncture
石岡,Ishioka
秀次,Shuji
害虫,pest
家名,family name
山縣,Yamagata
万延,Spread
労使,Labor and management
嘔吐,vomiting
悪夢,nightmare
慣行,Customary practice
リモート,remote
みう,Miu
エンターブレイン,Enterbrain
グリフィス,Griffith
ストライプ,stripe
節度,Moderation
造幣,Mint
関西電力,Kansai Electric Power Co.
ブルーム,Bloom
ハンコック,Hancock
大場,Oba
川合,Kawai
掟,Law
方形,square
初号機,First unit
免職,Dismissal
彷徨う,Wandering
既刊,Previously published
日照,Sunlight
容赦,pardon
純度,purity
スタイ,Style
アレクサンデル,Alexander
りえ,Rie
アカディア,Acadia
離宮,Villa
黄緑,Yellow green
講じる,Take
失明,Loss of eyesight
延命,Longevity
政体,Constitution
バスケ,basketball
マニフェスト,Manifesto
ホーネット,Hornet
衛門尉,Emonjo
賄賂,bribe
踏み込む,Step into
紺,Navy blue
綾部,Ayabe
琵琶,biwa
針葉樹,Coniferous
鉄板,Iron plate
あっさり,Easily
サミー,Sammy
サンダース,Sanders
弄る,Tamper
曼荼羅,Mandala
橙色,Orange
リストラ,Restructuring
乗法,multiplicative
仕官,Government service
木津川,Kizu
沖田,Okita
口調,tone
唾,saliva
ラフマニノフ,Rachmaninoff
好転,Upturn
閘門,Locks
荻野,Ogino
菊川,Kikukawa
血清,serum
スクープ,scoop
オブライエン,O'Brien
アデレード,Adelaide
キャラバン,caravan
堪える,bear
佐原,Sawara
ボルネオ,Borneo
デービス,Davis
貝殻,shell
火傷,burn
無実,Innocent
熱意,enthusiasm
野獣,Beast
風靡,Overwhelming
研鑽,Study
藤山,Fujiyama
適時,A timely manner
寛延,Kan'ei
シオン,Sion
ストリーミング,Streaming
カブト,Kabuto
使用人,Employee
有意,Significance
比喩,Metaphor
民社党,Democratic Socialist Party
廊下,Corridor
後悔,regret
モデナ,Modena
加法,Addition
反る,Warp
ヴィーナス,Venus
発振,oscillation
真壁,Makabe
迷彩,camouflage
食器,Tableware
ローザンヌ,Lausanne
増産,Production increase
